iter	RMSE
0	0.1204825707
1	0.1191975278
2	0.1179584301
3	0.1164146212
4	0.1148849439
5	0.1136927685
6	0.1125145397
7	0.1115784002
8	0.1099465381
9	0.1086709713
10	0.1072618782
11	0.106016176
12	0.1051686573
13	0.1041487985
14	0.1030934453
15	0.1019310888
16	0.1008563813
17	0.09984781751
18	0.09883082635
19	0.09783479651
20	0.09683898521
21	0.09607544056
22	0.09513770106
23	0.09419544002
24	0.09324686612
25	0.09232794812
26	0.09113648628
27	0.08996225421
28	0.0888097284
29	0.08794112549
30	0.08674464253
31	0.08578953603
32	0.08498722323
33	0.08430651387
34	0.08363349666
35	0.08259453831
36	0.08176720882
37	0.08094013765
38	0.08012455844
39	0.07931496039
40	0.07868210865
41	0.07789225609
42	0.07727040942
43	0.07644449762
44	0.07577023072
45	0.07516847624
46	0.07442093825
47	0.07383382316
48	0.07309568517
49	0.07215735877
50	0.07123598381
51	0.0705896779
52	0.06983928882
53	0.06915908039
54	0.0685064438
55	0.06786596714
56	0.06732832432
57	0.06666264415
58	0.06613813515
59	0.06517643445
60	0.06452131172
61	0.06358571232
62	0.06294991522
63	0.06232593733
64	0.06159616384
65	0.06097808478
66	0.06022616944
67	0.05963381475
68	0.05888526905
69	0.05830495448
70	0.05773332682
71	0.05716820469
72	0.05660766541
73	0.05605314923
74	0.05551393669
75	0.05497190024
76	0.05442275913
77	0.05363777411
78	0.05296003061
79	0.05244395228
80	0.05178320927
81	0.0513667816
82	0.0508562542
83	0.0502165202
84	0.04972822346
85	0.04923431782
86	0.04875738199
87	0.04828541818
88	0.04781882602
89	0.04734114811
90	0.046884466
91	0.04642113707
92	0.04596093711
93	0.04550714532
94	0.04507044367
95	0.04463882219
96	0.04421221732
97	0.04377729161
98	0.04334019037
99	0.04290747009
100	0.04247908696
101	0.04205455362
102	0.04163868502
103	0.04123987509
104	0.04082777032
105	0.04042014038
106	0.04001659758
107	0.0395202456
108	0.03912566135
109	0.03873503384
110	0.03834765582
111	0.03796463048
112	0.03759116677
113	0.03721585355
114	0.03686143972
115	0.03649332771
116	0.03612901518
117	0.03576835784
118	0.0354109276
119	0.03505746622
120	0.0347075513
121	0.03436114732
122	0.03401821914
123	0.03367873198
124	0.03334265139
125	0.0330099433
126	0.03268015603
127	0.0323540873
128	0.03203129082
129	0.03171173385
130	0.03139538399
131	0.03108220917
132	0.03077217765
133	0.03046525798
134	0.03016141907
135	0.02986063012
136	0.02956286064
137	0.02926808045
138	0.02897625969
139	0.02868736879
140	0.02840119741
141	0.02811713198
142	0.02783666563
143	0.02755918563
144	0.02728449202
145	0.0270120635
146	0.0267423694
147	0.02647585967
148	0.0262120266
149	0.02595084346
